,Edge 1,Edge 2,Edge 3,Edge 4,Edge 5,Edge 6,Edge 7,Edge 8,Edge 9,Edge 10,Edge 11,Edge 12,Edge 13,Edge 14
0,54372000,132431000,425693000,81245000,638178000,1108474000,1196778000,175784000,107035000,0,0,204688000,0,0
1,28210000,50807000,145204000,46212000,308245400,353550000,336900000,75311000,51266000,0,0,116564000,0,0
2,109118000,65726000,0,0,108285000,0,0,29718000,91520000,271166000,45533000,383920000,799190000,911060000
3,207413000,129481000,0,0,209049000,0,0,63590000,151785000,474191000,100474000,667098400,1180805000,1275036300
4,123973500,81391000,0,0,167587000,0,0,51138000,88448000,294770000,66738000,481743300,692874000,702866700
5,35558000,96015000,263927000,56335000,288703700,681309000,775631100,110275500,72521000,0,0,62529000,0,0
6,58561000,141995000,456849000,84154000,664097900,1182590000,1282991900,188390000,111797000,0,0,206617000,0,0
7,39018200,83051000,256909000,60623000,446377100,649110000,668960000,115410000,73695000,0,0,155566000,0,0
8,47431000,27463000,0,0,26876000,0,0,11182200,47006000,128642000,16257000,140003000,394950000,471790000
9,168954000,105394000,0,0,171775000,0,0,49380000,125267000,388622000,80064000,553744100,998628000,1085070000
10,118113000,78398000,0,0,146763000,0,0,46478000,86494000,279516300,64035000,433027900,657395600,678329000
11,20325000,61528000,160152300,35404000,149993700,416288600,486324000,66722000,45719000,0,0,22533000,0,0
12,50545000,125760000,394447000,73410000,577693000,1032355000,1123255000,163675000,97345000,0,0,178203000,0,0
13,36397200,80476000,248875000,57588000,420688300,632810000,657430000,110765000,70700000,0,0,144488000,0,0
14,39041000,22140000,0,0,23506000,0,0,9439200,40112000,108194000,12451000,122137000,343320000,413380000
15,166356000,103555000,0,0,171049000,0,0,48240000,124336000,385881000,77882000,553286900,1009125000,1104865000
16,148511900,97017000,0,0,170400000,0,0,55276000,109362000,351283760,78167000,518582000,834934000,876000000
17,3371000,28643000,44707960,14965000,47635000,107924800,157117000,19391900,18726000,0,0,48974900,0,0
18,51271000,127354000,392814800,72785000,572672000,1038789200,1136325000,163198000,96213000,0,0,172446000,0,0
19,44514000,103370000,331748000,67065000,519676800,855925000,912913000,139400000,86353000,0,0,170996000,0,0
20,11124000,12409000,40624000,20721000,136616000,81310000,49400000,26270000,20124000,0,0,60171000,0,0
21,121885000,76437000,0,0,124966000,0,0,34459000,96980000,284877000,56540000,418926700,786220000,872200000
22,142294000,92546000,0,0,155545000,0,0,47855000,104695000,330273000,73757000,478914200,801683000,852654000
23,27881000,14841000,0,0,81004000,0,0,15676000,12476000,71310000,11932000,188461000,179959000,161363900
24,40131000,100855000,295574000,56961000,425993500,791798000,872252900,123465000,74544000,0,0,122878000,0,0
25,41014000,98588000,309664000,62126000,476875400,801234000,858595000,130467000,80326000,0,0,153674000,0,0
26,12200000,17382000,60134000,22668000,150159000,131160000,108250000,32897000,23590000,0,0,62079000,0,0
27,112918000,71462000,0,0,116564000,0,0,32199000,91447000,264845000,52790000,393267200,739190000,823780000
28,151994000,97962000,0,0,164350000,0,0,50840000,112142000,356822000,77131000,511805000,876793000,940488000
29,61632000,35618000,0,0,111956000,0,0,27672000,37418000,149619700,28376000,293125600,369047000,365300000
30,36955000,95380000,263503700,53826000,360484200,706804000,787319000,111109000,69378000,0,0,96010000,0,0
31,47282000,115547000,365749000,69392000,547451700,955586000,1036949000,151442000,91444000,0,0,172113000,0,0
32,30361000,64509000,196885000,48970000,352579900,501550000,515540000,90090000,58600000,0,0,123378000,0,0
33,53324000,31861000,0,0,43167000,0,0,14713000,49778000,133360000,21186000,174930000,402580000,468340000
34,145997000,91909000,0,0,152344000,0,0,43155000,107970000,335497000,70210000,484882100,862985000,938473000
35,104124000,68915000,0,0,132510000,0,0,41220000,75369000,250719000,55690000,387807000,596634000,621052200
36,13195000,46268000,100401000,24975000,84980800,267700000,317966200,43194000,31542000,0,0,4820000,0,0
37,43059000,108549000,328482000,62377000,489939300,864989000,939869000,138097000,81966000,0,0,149799000,0,0
38,31514000,69861000,218630000,49483000,363784000,553670000,576750000,96092000,61072000,0,0,123281000,0,0
39,37777000,23393000,0,0,24134000,0,0,10617000,38897000,96509000,15024000,116577000,297440000,352480000
40,142552000,90163000,0,0,149285000,0,0,42487000,106774000,331980000,68445000,479006900,860475000,939527000
41,119524000,77003000,0,0,145497000,0,0,46405000,86359000,287449800,61521000,433945600,687627720,720602000
42,8722000,38414000,68521800,20006000,63472000,182064720,229265000,30371000,24711000,0,0,20983300,0,0
43,46877000,119187000,360405000,67340000,534608300,961498000,1053154000,149878000,89053000,0,0,161245000,0,0
44,41600000,99423000,314111000,64106000,495702500,821000000,879360000,132048000,82480000,0,0,162402000,0,0
45,11733000,16173000,46389000,22946000,137949000,96760000,67570000,29097000,22809000,0,0,57996000,0,0
46,119036000,73874000,0,0,124887000,0,0,33768000,94911000,279659000,54238000,414893000,782270000,871750000
47,154431000,99577000,0,0,165916000,0,0,50178000,112749000,357521000,78585000,514330700,877673000,940328000
48,57268000,35196000,0,0,107116000,0,0,27059000,33754000,143136300,28466000,276492100,343979700,337884500
49,36750000,96828000,263275300,53420000,364197800,708391700,786592500,111491000,69132000,0,0,97350000,0,0
50,43896000,106686000,332988000,65108000,504822000,862341000,927970000,139893000,84812000,0,0,159992000,0,0
51,18498000,32686000,104889000,31593000,218733000,250120000,236820000,51739000,35055000,0,0,82620000,0,0
52,102701000,65241000,0,0,102823000,0,0,29587000,84993000,242420000,47909000,354018000,682020000,765240000
53,156185000,100042000,0,0,166453000,0,0,51621000,114123000,366312000,78501000,519885300,898372000,964367000
54,63576000,37356000,0,0,114424000,0,0,28692000,37350000,155579600,29868000,297714900,375569400,370137000
55,39200000,104121000,283570600,57279000,390799800,767899400,857680000,119782000,74256000,0,0,103566000,0,0
56,50184000,124718000,394691000,74425000,589692400,1039132000,1131774000,162517000,98514000,0,0,185217000,0,0
57,33732000,74715000,219485000,55219000,395136000,567330000,584580000,101442000,66207000,0,0,137408000,0,0
58,54063000,30067000,0,0,47280000,0,0,13582000,50051000,144841000,17893000,186472000,451720000,533990000
59,175449000,108401000,0,0,180919000,0,0,50949000,128844000,404666000,81701000,578556200,1052027000,1152096000
60,148072000,97759000,0,0,170689000,0,0,55111000,106827000,349802480,79329000,513846500,820689200,856781000
61,7882000,44486000,77234680,21118000,75332000,206750200,265122000,34859000,26824000,0,0,34336700,0,0
62,51941000,131043000,399220800,74193000,586135500,1054386000,1150055000,166919000,98193000,0,0,177261000,0,0
63,40691000,91697000,288319000,62193000,466847900,731460000,766740000,124872000,78080000,0,0,156323000,0,0
64,24196000,13200000,0,0,17518000,0,0,4917000,28269000,74947000,5312000,70595000,241810000,305280000
65,165483000,103540000,0,0,170298000,0,0,48026000,123804000,386784000,77639000,551092100,1010878000,1108083000
66,146763000,95274000,0,0,169999000,0,0,55427000,105517000,347955300,76847000,511680700,817237000,852648000
67,11847000,52991000,103111100,26488000,92018000,278683000,346176000,45387000,33621000,0,0,22501900,0,0
68,56270000,143463000,443730200,80966000,646737600,1181992000,1298145000,182769000,108236000,0,0,195258000,0,0
69,47520000,116243000,361960000,74469000,578281100,955900000,1023710000,152488000,95675000,0,0,190761000,0,0
70,14384000,15536000,31579000,26533000,133744800,38660000,0,29116000,24400000,0,0,59255000,0,12800000
71,152347000,92351000,0,0,163374000,0,0,42505000,118728000,367804000,66019000,536311800,1037250000,1165510000
72,211558000,133484000,0,0,215907000,0,0,67851000,152855000,483002000,105934000,676385700,1169378000,1251499800
73,75556100,48413000,0,0,139833000,0,0,35240000,43963000,184718000,39821000,361077300,429905000,409344200
74,50641000,133829000,378428000,74210000,503722000,1003778000,1116542000,159525100,97124000,0,0,134592000,0,0
75,55399000,132772000,426025000,81273000,637289000,1098695000,1183072000,176986000,106759000,0,0,203309000,0,0
76,25179000,43235000,124582000,41104000,277263000,295570000,271050000,65434000,44593000,0,0,104942000,0,0
77,128460000,79380000,0,0,127822000,0,0,35916000,103732000,312839000,56589000,439683000,883890000,1000800000
78,203378000,128701000,0,0,207701000,0,0,66095000,147429000,469413420,101788000,652470600,1132763500,1210944100
79,62031800,37379000,0,0,129824000,0,0,29997000,32026000,151652580,30574000,321011800,352050500,324186900
80,54561000,143910000,418102000,79513000,571944900,1122972000,1251791000,174022800,105026000,0,0,157277000,0,0
81,59044000,147468000,472841000,88624000,708452500,1249922000,1361510000,193150000,117658000,0,0,225493000,0,0
82,35958000,75951000,208923000,59577000,414442700,537350000,534960000,103573000,69053000,0,0,149586000,0,0
83,89800000,50441000,0,0,93617000,0,0,20770000,77689000,242963000,30487000,330740700,755340000,886570000
84,235060000,143466000,0,0,237689000,0,0,69485000,170269000,541193000,108373000,759319000,1387266000,1517799000
85,188463900,124711000,0,0,211922000,0,0,70665000,134606000,435980000,102988000,637915400,991587000,1017246000
86,27009000,95710000,227879500,50481000,195748000,591144000,697210600,99148900,65193000,0,0,24018800,0,0
87,66870000,164505000,525855500,95342000,755343200,1368809000,1492184400,216287000,127397000,0,0,231586000,0,0
88,46350000,102233000,311511000,71377000,529313000,786800000,812310000,139084000,87787000,0,0,181535000,0,0
89,51777000,28623000,0,0,37789000,0,0,10322000,50746000,153261000,14421000,162791000,480470000,586770000
90,220542000,136011000,0,0,220998000,0,0,64587000,161320000,512960000,102342000,712479700,1311478000,1432930000
91,170011000,111634000,0,0,199066000,0,0,65360000,120252000,396414000,91855000,590285200,903025000,922675000
92,33211000,108674000,271060450,58112000,272350100,720592000,839820000,115556000,75400000,0,0,44491000,0,0
93,68577000,172549000,554993550,99492000,798076800,1464171000,1607125000,225468000,134076000,0,0,245282000,0,0
94,49900000,122290000,367396000,80432000,621116200,976460000,1031660000,158953000,101323000,0,0,210823000,0,0
95,15158000,0,0,12696000,44962000,0,0,0,19222000,73076000,0,77556100,293420000,400420000
96,214288000,128773000,0,0,227714000,0,0,60047000,160190000,516065000,91931000,736116100,1416800000,1586377000
97,263033800,166583000,0,0,260273000,0,0,87874000,189647000,597576000,135081000,819070100,1395507000,1472043000
98,16918600,16276000,0,0,116889000,0,0,16331000,0,43681000,8974000,237247100,88351000,14013000
99,71316000,181059000,558304000,101691000,774635900,1472608000,1624553000,231541400,135644000,0,0,224523000,0,0
100,60978000,144690000,462351000,90653000,712522300,1191240000,1271260000,193004000,118018000,0,0,233028000,0,0
101,19008000,18658000,41677000,31752000,181477000,51490000,0,36857000,28880000,0,0,80024000,0,18410000
102,188171000,115077000,0,0,193215000,0,0,52216000,144429000,456791000,82142000,641439000,1258856000,1414319000
103,244856800,155653000,0,0,245569000,0,0,82506000,177230000,560651000,125493000,771141700,1313189000,1384235000
104,3024700,19543000,0,0,102631000,5868000,88089000,10789000,985000,10648000,573000,177858500,0,0
105,73108000,188450000,587908000,105358000,821636000,1568017000,1735095000,240576500,141799000,0,0,239822000,0,0
106,62420000,156808000,496097000,96107000,771108700,1320750000,1428890000,203686000,126158000,0,0,251916000,0,0
107,30826000,50311000,119142000,51522000,315266700,269680000,214310000,74005000,53860000,0,0,124812000,0,0
108,159980000,93849000,0,0,179946000,0,0,39517000,128326000,417234000,61435000,595765200,1252540000,1443620000
109,306968000,188055000,0,0,299250000,0,0,95878000,221077000,699869000,146531000,955803300,1717418000,1852366000
110,177190700,117452000,0,0,232344000,0,0,71447000,121773000,408578000,97627000,668563200,925662000,905224000
111,58557000,166648000,454128000,91959000,507268000,1199002000,1363214000,192161700,120127000,0,0,109370000,0,0
112,81990000,201306000,657466000,118701000,941406200,1684908000,1818196000,268678000,159080000,0,0,294486000,0,0
113,46397000,91019000,263809000,72151000,511206500,646050000,629470000,127787000,83519000,0,0,185477000,0,0
114,120151000,69786000,0,0,106868000,0,0,27979000,101401000,321044000,43406000,397699200,950640000,1111680000
115,276234000,170502000,0,0,268445000,0,0,85345000,199316000,633132000,132608000,859652200,1549444300,1671865000
116,139557200,91328000,0,0,199130000,0,0,58497000,91336000,326060000,75770000,552358100,731681700,707045000
117,63333000,174743000,499294410,96684000,613175000,1333254000,1508839000,207462200,127676000,0,0,151658000,0,0
118,75954000,191024000,621669590,112299000,905550300,1632032000,1779561000,251289000,150964000,0,0,285355000,0,0
119,46702000,106722000,303443000,77243000,575039000,798520000,811160000,140956000,93082000,0,0,205469000,0,0
120,73881000,37034000,0,0,70901000,0,0,9932000,68519000,235738000,14769000,277876000,791020000,965050000
121,291479000,175757000,0,0,296546000,0,0,85056000,212040000,686379400,129059000,953393000,1796465000,1980195000
122,286995600,186513000,0,0,289385000,0,0,102046000,207489000,647320600,154642000,903075800,1454345000,1490895000
123,19758000,93695000,203760000,48084000,167590000,512277000,647434000,91626700,61485000,0,0,68661400,0,0
124,90219000,224984000,729184000,126673000,1020819000,1910573000,2083586000,294704900,172120000,0,0,306502000,0,0
125,62416000,142979000,442643000,94960000,726776300,1121200000,1166850000,191889000,119580000,0,0,247297000,0,0
126,28023000,7568000,0,6427000,57191000,0,0,277000,31854000,113012000,0,109786100,400400000,534160000
127,259829000,158346000,0,0,259581000,0,0,74241000,191477000,616620110,115844000,846820000,1616669000,1783403000
128,252576740,164032000,0,0,260884000,0,0,90884000,181494000,576308890,135191000,807204000,1299940000,1334260000
129,24037000,97864000,229770000,50758000,182420000,602542000,740300000,99258740,65934000,0,0,35006800,0,0
130,86194000,218693000,710913000,123492000,997991700,1880377000,2065123000,285774000,168246000,0,0,300978000,0,0
131,60954000,150467000,462867000,96582000,763830100,1227250000,1302590000,195101000,123477000,0,0,258244000,0,0
132,19292000,5186000,0,31064000,107284300,0,0,21538000,22873000,20477000,0,60480000,164750000,285850000
133,237126000,141604000,0,0,256036000,0,0,63513000,179656000,590867000,97344000,834911300,1666970000,1883801000
134,343064900,213999000,0,0,326246000,0,0,113313000,248429000,775228000,173338000,1042316400,1813253000,1911696000
135,68092300,40635000,0,0,195400000,0,0,36926000,30917000,157687000,34048000,455747530,374577000,291533000
136,88216000,226277000,702238760,124898000,931576230,1882333000,2087387000,287177200,168079000,0,0,256730000,0,0
137,78115000,185542000,598692240,115024000,898378700,1509427000,1603003000,249593000,150588000,0,0,293061000,0,0
138,34056000,48943000,124463000,53588000,343161000,264010000,190220000,76319000,54702000,0,0,137717000,0,0
139,203560000,122416000,0,0,205456000,0,0,53752000,158617000,513560000,83315000,697842000,1454240000,1648054000
140,314513600,196768000,0,0,300402000,0,0,103513000,227798000,712167000,158801000,958063900,1665301000,1756050000
141,97204100,55960000,0,0,207490000,0,0,48253000,58407000,232857000,44690000,529268460,598919000,545616000
142,84796000,217920000,667050400,116811000,870712160,1862804000,2094113000,264973700,158302000,0,0,229170000,0,0
143,85365000,212132000,684785600,128246000,1008566200,1737326000,1852407000,282658000,170319000,0,0,325362000,0,0
144,44900000,88730000,238523000,73434000,520971000,599440000,559680000,121597000,83595000,0,0,196291000,0,0
145,144606000,81600000,0,0,148829000,0,0,29094000,119896000,403951000,47462000,521652000,1239770000,1451170000
146,326270000,199008000,0,0,315944000,0,0,100631000,235003000,744903000,153774000,1012376500,1836269400,1985676000
147,189925400,126596000,0,0,242320000,0,0,75168000,132155000,429172000,106397000,697760200,953770600,929154000
148,63066000,178105000,500516000,100207000,557004100,1303993000,1482113000,211874400,131115000,0,0,122990000,0,0
149,82424000,201679000,661776000,118926000,950342600,1706607000,1849307000,269107000,159510000,0,0,297821000,0,0
150,48925000,102680000,296588000,77240000,560816800,743560000,737210000,140480000,91368000,0,0,201295000,0,0
151,105109000,59029000,0,0,93220000,0,0,21385000,91622000,297173000,33332000,356753800,913790000,1085770000
152,289783000,177425000,0,0,282686000,0,0,87754000,209045000,666404000,135847000,907724600,1657741000,1799558670
153,180761900,120015000,0,0,224740000,0,0,71401000,126065000,414749000,100228000,653040200,925824000,913005330
154,57892000,165362000,463246000,92644000,519223400,1216884000,1389556000,194410900,121470000,0,0,115680000,0,0
155,79222000,197910000,647310000,115561000,931807400,1694741000,1849938000,261374000,155823000,0,0,291078000,0,0
156,50268000,117280000,341302000,81978000,621226000,897430000,922490000,154179000,100293000,0,0,218711000,0,0
157,58586000,26662000,0,0,57810000,0,0,6414000,56210000,197049000,6895000,217560000,674870000,839440000
158,280081000,168945000,0,0,286530000,0,0,80818000,204390000,663926100,123053000,923309000,1753636000,1938364000
159,288856830,186716000,0,0,288671000,0,0,101516000,209541000,651871900,154371000,904708900,1473274000,1516056000
160,13512000,77083000,164849000,39007000,140300000,407565000,533786000,73505930,50255000,0,0,84670600,0,0
161,89154000,222965000,722567000,125126000,1010052800,1905035000,2083754000,291589900,170161000,0,0,301670000,0,0
162,63622000,148043000,460450000,96841000,747267500,1174530000,1231360000,197632000,122820000,0,0,252639000,0,0
163,11515000,0,0,18620000,82778000,0,0,1467000,19614000,54324000,0,70933800,234180000,351590000
164,241053000,146388000,0,0,245496000,0,0,67509000,179881000,580648061,104943000,804613000,1563758000,1737885000
165,279390600,178865000,0,0,277153000,0,0,96515000,202828000,636834939,146061000,874278400,1465714000,1522367000
166,0,30574000,30174000,11728000,112070000,61378000,157979000,20535600,15203000,0,0,184725900,0,0
167,84958000,217675000,698021900,119013000,975784100,1898304000,2096843000,278609000,163011000,0,0,284150000,0,0
168,70098000,170410000,536663100,107686000,836509600,1374750000,1455490000,225692000,139218000,0,0,277890000,0,0
169,26229000,26920000,49581000,42578000,229843350,54110000,0,47818000,38886000,0,0,101231000,0,37950000
170,199200000,119374000,0,0,210149000,0,0,52944000,153240000,496342000,82310000,696005750,1407190000,1596650000
171,294839000,184018000,0,0,285872000,0,0,95757000,213052000,668633000,147628000,907716700,1583503000,1680374000
172,73244100,45829000,0,0,173240000,0,0,36619000,39785000,171400000,38425000,422770400,401202000,340464000
173,74662000,192307000,587301800,106883000,777791000,1567457000,1744958000,241815100,142898000,0,0,213310000,0,0
174,71642000,173620000,561000200,106009000,839297100,1444078000,1551280000,231498000,139801000,0,0,270881000,0,0
175,35171000,59480000,155576000,56251000,372581800,367810000,323290000,86968000,60276000,0,0,143314000,0,0
176,149042000,88595000,0,0,150927000,0,0,38268000,119535000,379508000,59463000,516953800,1102090000,1264850000
177,262402000,162809000,0,0,257598000,0,0,82401000,188697000,596701000,128323000,817464300,1444150000,1549807700
178,100345800,66424000,0,0,171270000,0,0,44753000,62811000,236146000,55598000,450733700,532545000,497739300
179,63226000,168471000,494407500,94391000,633481800,1303751000,1458267000,206168800,124778000,0,0,166800000,0,0
180,66705000,164432000,531814500,98574000,790785200,1394134000,1514220000,217141000,131057000,0,0,252048000,0,0
181,38573000,78030000,212617000,62639000,436632600,538150000,524150000,107461000,71563000,0,0,159620000,0,0
182,109185000,62910000,0,0,111813000,0,0,25384000,92500000,294411000,38826000,393169600,899100000,1051700000
183,260680000,159755000,0,0,259255000,0,0,78553000,187759000,598384000,122122000,828033400,1503271000,1635964000
184,180885900,120226000,0,0,216510000,0,0,70215000,128617000,417843000,99941000,639612600,946102000,953724000
185,43944000,130849000,349478000,73107000,355804200,901502000,1035620000,149097900,94813000,0,0,67010000,0,0
186,72055000,177167000,576021000,103568000,829382800,1503121000,1640168000,234659000,138934000,0,0,257130000,0,0
187,48504000,110800000,328856000,76465000,576199700,851760000,882450000,147417000,93856000,0,0,199052000,0,0
188,42206000,20230000,0,0,37227000,0,0,5542000,42690000,140474000,5911000,141848700,462110000,576070000
189,218441000,133191000,0,0,222431000,0,0,62732000,159337000,510888500,98603000,715660000,1337740000,1475799000
190,205882000,134339000,0,0,219690000,0,0,73518000,148688000,472854500,110059000,674175000,1087715500,1127877000
191,14402000,69159000,152738000,33637000,128160000,401735500,500773000,66323000,44283000,0,0,38295600,0,0
192,68004000,170446000,541172000,97467000,772909600,1422840000,1558763000,222061000,130697000,0,0,234250000,0,0
193,51233000,121320000,371446000,79522000,610808700,966070000,1019600000,160279000,100423000,0,0,205228000,0,0
194,8261000,0,0,12251000,53562000,0,0,0,15019000,47069000,0,55374700,189530000,274430000
195,193198000,117880000,0,0,201367000,0,0,54327000,144630000,462063200,85372000,655346000,1254970000,1399920000
196,227140000,145487000,0,0,233310000,0,0,77198000,164651000,521944800,117455000,727892900,1226958500,1292809000
197,6402000,13776000,0,0,103010000,0,28742600,10828000,0,19159000,1929000,190845300,37517000,0
198,66039000,168091000,518205900,94279000,729718900,1377445500,1519736400,214206000,125775000,0,0,212760000,0,0
199,58118000,141200000,448536100,87597000,695422300,1176340000,1266240000,186232000,114291000,0,0,226787000,0,0
200,26320000,42850000,105110000,43330000,277109110,248660000,209810000,63444000,45004000,0,0,107971000,0,0
201,137044000,82464000,0,0,144687000,0,0,37126000,109360000,340004000,57229000,484010110,982670000,1119140000
202,225101000,140511000,0,0,226201000,0,0,70014000,161597000,513094000,110104000,714515200,1258216000,1355573000
203,105036000,69818000,0,0,162610000,0,0,45596000,69722000,249323000,58000000,441482500,572877245,558061000
204,50018000,136889000,382578000,76104000,476724800,1008673245,1130854000,161301000,99594000,0,0,117680000,0,0
205,60043000,146310000,469898000,88047000,697088900,1222070000,1324350000,193857000,116408000,0,0,220950000,0,0
206,34323000,68850000,192612000,54914000,385017000,485950000,479510000,95629000,62785000,0,0,138833000,0,0
207,97716000,58306000,0,0,94002000,0,0,25560000,82490000,250943000,38636000,335910000,742380000,860550000
208,218026000,135530000,0,0,219601000,0,0,65951000,157080000,502518000,104186000,699280000,1257602000,1365305000
209,140384000,92628000,0,0,182450000,0,0,56634000,98432000,331580000,76223000,525512600,764730700,773747000
210,39141000,114402000,300182000,63272000,330472200,787690700,900025000,127846000,81811000,0,0,66680000,0,0
211,63436000,157160000,505217000,91861000,736368400,1327212000,1451287000,206532000,122809000,0,0,228710000,0,0
212,45093000,106610000,316042000,71989000,547114160,833120000,873790000,140022000,89135000,0,0,186738000,0,0
213,23132000,8159000,0,2164000,27067000,0,0,2025000,25300000,89173000,0,82967060,308960000,399420000
214,190630000,116022000,0,0,198942000,0,0,54051000,140930000,451127000,84815000,641989100,1213660000,1348790000
215,207841000,134013000,0,0,217210000,0,0,70940000,150276000,477631000,108490000,672535400,1122108000,1179920000
216,0,17312000,0,1282000,89150000,0,60467000,8637000,2849000,3574000,0,154317900,384000,0
217,60702000,154094000,471321970,86514000,671620300,1250732000,1375013000,195952000,115020000,0,0,197400000,0,0
218,52187000,123470000,389798030,78553000,611643000,1008130000,1074230000,164589000,101155000,0,0,200970000,0,0
219,13152000,12740000,25999000,23349000,139705000,31960000,0,25994000,20514000,0,0,62541000,0,22100000
220,162578000,100432000,0,0,168391000,0,0,45475000,124890000,391244000,72541000,557550000,1077420000,1206150000
221,207526000,132822000,0,0,214990000,0,0,69779000,150544000,480371000,106244000,671537700,1144953000,1215062000
222,29990000,15819000,0,0,113370000,0,0,18298000,7045000,74546000,13414000,244696300,173897000,126862600
223,59861000,154039000,464485700,85870000,651885800,1242720000,1377124600,192865000,113989000,0,0,186670000,0,0
224,57883000,143550000,458178300,87152000,700003200,1214840000,1319690000,188049000,114948000,0,0,225460000,0,0
225,32684000,65330000,171351000,54013000,368979000,438200000,423710000,90036000,60646000,0,0,135886000,0,0
226,103275000,60110000,0,0,110046000,0,0,25748000,86480000,270124000,38751000,377004000,820160000,952830000
227,230189000,141386000,0,0,232260000,0,0,68674000,165660000,528388000,107721000,739940000,1341004000,1462229000
228,170493000,113474000,0,0,202110000,0,0,65387000,122268000,396541000,93839000,598569600,906968100,925161000
229,31940000,101718000,258512000,55540000,237886200,666124100,773574000,111320000,71910000,0,0,33220000,0,0
230,64843000,159100000,510526000,92898000,738175400,1329658000,1448126000,209844000,123923000,0,0,228030000,0,0
231,43916000,96760000,289999000,68224000,505292700,737790000,760040000,131248000,83044000,0,0,174390000,0,0
232,53785000,30515000,0,0,36960000,0,0,11489000,51180000,156492000,16276000,166772700,485140000,588720000
233,213404000,131811000,0,0,214850000,0,0,62363000,155540000,497171000,99046000,692376000,1275762000,1396083000
234,173316000,113698000,0,0,200640000,0,0,65830000,124528000,404345000,93207000,600333400,930800200,956881000
235,27651000,92718000,230853000,50071000,203141200,603964200,711797000,98495000,64920000,0,0,23440000,0,0
236,67089000,168330000,540579000,96723000,777778200,1428538000,1569337000,220005000,130152000,0,0,238240000,0,0
237,50776000,125840000,381706000,80986000,634861200,1020510000,1086880000,162912000,102928000,0,0,213295000,0,0
238,12512000,1820000,0,21673000,70114400,0,0,13362000,15026000,20486000,0,41392000,127790000,212830000
239,187336000,112692000,0,0,202157000,0,0,51879000,142120000,456485500,79697000,656172600,1277930000,1440900000
240,255397000,160259000,0,0,254390000,0,0,82809000,184700000,580690500,128171000,802737700,1390635000,1479993000
241,64940000,41564000,0,0,153750000,0,0,32726000,36120000,152168000,35192000,371849600,353989400,305564000
242,64618000,166910000,502755000,93906000,668530800,1324644400,1470037000,209419000,124471000,0,0,183660000,0,0
243,62264000,148970000,480532000,91692000,725495500,1241480000,1334340000,199118000,120372000,0,0,234320000,0,0
244,27339000,43360000,113801000,44040000,289476700,261570000,219210000,66154000,45847000,0,0,113120000,0,0
245,152957000,93295000,0,0,154530000,0,0,41950000,120940000,377798900,65384000,525939700,1069950000,1217080000
246,241201000,151651000,0,0,240730000,0,0,77807000,174860000,553493100,120317000,762452400,1333316000,1423872000
247,68306000,42271000,0,0,151720000,0,0,33220000,37630000,160703000,35403000,368310400,368359900,322825000
248,65008000,169930000,512909000,95169000,685792400,1367155900,1524997000,211736000,126661000,0,0,188520000,0,0
249,65258000,163480000,526271000,98039000,791552400,1394900000,1519580000,214146000,130314000,0,0,253770000,0,0
250,38501000,81730000,219119000,64042000,453069000,569020000,559230000,110226000,73961000,0,0,165983000,0,0
251,100960000,56696000,0,0,108923000,0,0,20876000,87000000,284399000,32530000,381429000,898580000,1060180000
252,271371000,164775000,0,0,272930000,0,0,80795000,196090000,627159000,124000000,873563000,1607231000,1759784000
253,225548000,148593000,0,0,245600000,0,0,83310000,163450000,513835000,123415000,749110000,1162633000,1185265000
254,31886000,107690000,276310000,59763000,216207000,697291000,826140000,118780000,77446000,0,0,25490500,0,0
255,78172000,192740000,627424500,111154000,889294500,1634153000,1781329000,255236000,149803000,0,0,271920000,0,0
256,52858000,118240000,358903500,81400000,612476400,910800000,940210000,159601000,100415000,0,0,211060000,0,0
257,49037000,25148000,0,0,39357000,0,0,6939000,49400000,159432000,9179000,156587400,513580000,639430000
258,242185000,148399000,0,0,241350000,0,0,70290000,176910000,566576000,110605000,782385000,1461903000,1605719000
259,208524000,136340000,0,0,230460000,0,0,77380000,150470000,478145000,112541000,696715400,1085154000,1108939000
260,33425000,111540000,292139000,60924000,254028600,762067000,898883000,122977000,79802000,0,0,31240000,0,0
261,76144000,191000000,621522000,110060000,884569800,1636250000,1796825000,251332000,148793000,0,0,271360000,0,0
262,53947000,133730000,404527000,86695000,683420000,1083620000,1148910000,172799000,109896000,0,0,232320000,0,0
263,13036000,0,0,21271000,69416000,0,0,6101000,17846000,50025000,0,66177400,240500000,357840000
264,229731000,137571000,0,0,247560000,0,0,62950000,172980000,565628800,95872000,804130600,1582910000,1780530000
265,313917000,196462000,0,0,302700000,0,0,103936000,227820000,709364200,159239000,963388900,1662101000,1751277000
266,54873600,32240000,0,0,177000000,0,0,31561000,26150000,128165000,27107000,411208000,331868000,261906000
267,78739000,199830000,623083000,110008000,833982700,1686369000,1876973000,253476600,148381000,0,0,230560000,0,0
268,74789000,179570000,580136000,110927000,868541200,1467620000,1558230000,241587000,145629000,0,0,282570000,0,0
269,29566000,38200000,95158000,46742000,293778900,189010000,115770000,62800000,45952000,0,0,121300000,0,0
270,191499000,116163000,0,0,191900000,0,0,51810000,148670000,474695700,80915000,651033900,1331930000,1508310000
271,280462000,176430000,0,0,273140000,0,0,92655000,203820000,638865300,142030000,868137900,1501562860,1585535000
272,40724000,22595000,0,0,145690000,0,0,24927000,14390000,94126000,19496000,324392300,218294140,141705000
